To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_clk,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,
i_reset,Input,PIN_AC9,3B,B3B_N0,PIN_AC9,1.2 V,,,,,,,,,,,,
i_RX_data,Input,PIN_M9,8A,B8A_N0,PIN_M9,2.5 V,,,,,,,,,,,,
o_BCLK,Output,PIN_E6,8A,B8A_N0,PIN_E6,2.5 V,,,,,,,,,,,,
o_DATA,Output,PIN_H10,8A,B8A_N0,PIN_H10,2.5 V,,,,,,,,,,,,
o_hdmi_clk,Output,PIN_Y25,5B,B5B_N0,PIN_Y25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[23],Output,PIN_AD25,5B,B5B_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[22],Output,PIN_AC25,5B,B5B_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[21],Output,PIN_AB25,5B,B5B_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[20],Output,PIN_AA24,5B,B5B_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[19],Output,PIN_AB26,5B,B5B_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[18],Output,PIN_R26,5B,B5B_N0,PIN_R26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[17],Output,PIN_R24,5B,B5B_N0,PIN_R24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[16],Output,PIN_P21,5B,B5B_N0,PIN_P21,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[15],Output,PIN_P26,5B,B5B_N0,PIN_P26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[14],Output,PIN_N25,5B,B5B_N0,PIN_N25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[13],Output,PIN_P23,5B,B5B_N0,PIN_P23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[12],Output,PIN_P22,5B,B5B_N0,PIN_P22,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[11],Output,PIN_R25,5B,B5B_N0,PIN_R25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[10],Output,PIN_R23,5B,B5B_N0,PIN_R23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[9],Output,PIN_T26,5B,B5B_N0,PIN_T26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[8],Output,PIN_T24,5B,B5B_N0,PIN_T24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[7],Output,PIN_T23,5B,B5B_N0,PIN_T23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[6],Output,PIN_U24,5B,B5B_N0,PIN_U24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[5],Output,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[4],Output,PIN_V24,5B,B5B_N0,PIN_V24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[3],Output,PIN_W26,5B,B5B_N0,PIN_W26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[2],Output,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[1],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[0],Output,PIN_V23,5B,B5B_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_DE,Output,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_HS,Output,PIN_U26,5B,B5B_N0,PIN_U26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_VS,Output,PIN_U25,5B,B5B_N0,PIN_U25,3.3-V LVTTL,,,,,,,,,,,,
o_LRCLK,Output,PIN_G10,8A,B8A_N0,PIN_G10,2.5 V,,,,,,,,,,,,
o_MCLK,Output,PIN_D6,8A,B8A_N0,PIN_D6,2.5 V,,,,,,,,,,,,
